repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
personal-finance-dss,personal-finance-dss/knowledge/roles/architect-finpilot/01_CONTEXT.md,54,3534,3,310,REGISTRY=8;RULE=1;STRUCT=1,,,4e4c803f5a32,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_016_debt_avalanche_amortization_schedule.md,156,15680,3,310,REGISTRY=5;RULE=4;STRUCT=1,,,c73986933557,
personal-finance-dss,personal-finance-dss/docs/reports/audits/repo_revision_2026_07.md,121,11583,3,310,META=1;REGISTRY=6;RULE=3,,,0a85d06d867c,
christ-walk,christ-walk/CHANGELOG.md,81,5788,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,e6289a268750,
ml-base,ml-base/CHANGELOG.md,220,15857,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,719e3442784d,
vevdokimovm,vevdokimovm/CHANGELOG.md,126,9349,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,6dcbf691173f,
science,science/CHANGELOG.md,257,19521,3,309,REGISTRY=1;RULE=6;STRUCT=2,,,bb9ac2fa515f,
ai-relay,ai-relay/CHANGELOG.md,146,11281,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,e58aca40c313,
control-panel,control-panel/ROADMAP.md,283,26519,3,309,REGISTRY=5;RULE=3;STRUCT=1,,,b1e4da3ca5af,
vevdokimovm.github.io,vevdokimovm.github.io/CHANGELOG.md,137,9872,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,66ba7fe8af90,
salvation,salvation/CHANGELOG.md,127,8729,3,309,REGISTRY=1;RULE=7;STRUCT=1,,,fe38dea1094d,
research-craft,research-craft/CHANGELOG.md,129,8927,3,309,REGISTRY=2;RULE=6;STRUCT=1,,,c72b70e80900,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/inc_chat_file_delivery_dead_stub.md,85,8193,3,309,REGISTRY=3;RULE=5;STRUCT=1,,,dbf8ccc8bf51,
character-a-analysis,character-a-analysis/context-lab/06-history/2026-07-23-delivery-channel-three-failures.md,91,9390,3,309,REGISTRY=3;RETRO=1;RULE=5,,,7ce7a7626f30,
