время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:52:56	steam_osx	420906	89853	6132	0	4993
06:52:56	dota2	52400902	7721689	0	0	0
06:52:56	Tunnel	26787714	70525332	17591	7555	1161598
06:53:06	steam_osx	421704	90329	6132	0	4993
06:53:06	dota2	52911247	7786006	0	0	0
06:53:06	Tunnel	27339997	70614498	17591	7555	1161598
06:53:17	steam_osx	422843	90329	6132	0	4993
06:53:17	dota2	53441904	7839002	0	0	0
06:53:17	Tunnel	27915435	70683222	17591	7555	1161598
06:53:27	steam_osx	423053	90329	6132	0	4993
06:53:27	dota2	53939174	7888564	0	0	0
06:53:27	Tunnel	28448379	70741200	17591	7555	1161598
06:53:37	steam_osx	424000	90383	6132	0	4993
06:53:37	dota2	54433657	7935909	0	0	0
06:53:37	Tunnel	28985921	70811699	17591	7555	1161598
06:53:47	steam_osx	424389	90383	6132	0	4993
06:53:47	dota2	55008682	7984749	0	0	0
06:53:47	Tunnel	29593486	70831633	17591	7555	1161783
06:53:57	steam_osx	424389	90383	6132	0	4993
06:53:57	dota2	55471313	8050907	0	0	0
06:53:57	Tunnel	30080785	70903765	17591	7555	1161783
06:54:07	steam_osx	424389	90437	6132	0	4993
06:54:07	dota2	55857946	8101647	0	0	0
06:54:07	Tunnel	30500312	70975546	17591	7555	1161783
06:54:17	steam_osx	424956	90437	6132	0	4993
06:54:17	dota2	56341594	8155537	0	0	0
06:54:17	Tunnel	31017544	71044452	17591	7555	1161807
06:54:27	steam_osx	425142	90491	6132	0	4993
06:54:27	dota2	56743199	8219670	0	0	0
06:54:27	Tunnel	31450486	71120061	17591	7555	1161783
06:54:38	steam_osx	425142	90491	6132	0	4993
06:54:38	dota2	57108513	8276275	0	0	0
06:54:38	Tunnel	31854443	71465340	17591	7555	1161783
06:54:48	steam_osx	425428	90491	6132	0	4993
06:54:48	dota2	57550963	8337668	0	0	0
06:54:48	Tunnel	32357331	71688430	17591	7555	1161783
06:54:58	steam_osx	426385	90545	6132	0	4993
06:54:58	dota2	58124689	8392670	0	0	0
06:54:58	Tunnel	32968027	72011356	17591	7555	1161783
06:55:08	steam_osx	426607	90635	6132	0	4993
06:55:08	dota2	58926586	8406139	0	0	0
06:55:08	Tunnel	33928207	72135892	17591	7555	1161783
06:55:18	steam_osx	426607	90635	6132	0	4993
06:55:18	dota2	59438075	8446748	0	0	0
06:55:18	Tunnel	34516869	74933943	17591	7555	1161783
06:55:28	steam_osx	426704	90689	6132	0	4993
06:55:28	dota2	59821214	8497500	0	0	0
06:55:28	Tunnel	34999839	75153593	18439	7555	1161783
06:55:38	steam_osx	426914	90689	6132	0	4993
06:55:38	dota2	60260876	8540552	0	0	0
06:55:38	Tunnel	35458832	75977405	18439	7555	1164911
06:55:49	steam_osx	428176	91111	6132	0	4993
06:55:49	dota2	60656373	8591681	0	0	0
06:55:49	Tunnel	35875076	76926851	18439	7555	1164911
06:55:59	steam_osx	428176	91165	6132	0	4993
06:55:59	dota2	61078382	8665828	0	0	0
06:55:59	Tunnel	36342945	80172437	18439	7555	1164911
06:56:09	steam_osx	428376	91165	6132	0	4993
06:56:09	dota2	61430875	8724894	0	0	0
06:56:09	Tunnel	36706413	80265379	18439	7555	1164911
06:56:19	steam_osx	429738	91219	6132	0	4993
06:56:19	dota2	61819206	8781549	0	0	0
06:56:19	Tunnel	37132413	81670383	18439	7555	1164911
06:56:29	steam_osx	429938	91219	6132	0	4993
06:56:29	dota2	62213522	8832745	0	0	0
06:56:29	Tunnel	37548611	81881177	18439	7555	1164911
06:56:39	steam_osx	429938	91219	6132	0	4993
06:56:39	dota2	62562543	8883461	0	0	0
06:56:39	Tunnel	37935605	81946145	18439	7555	1164911
06:56:49	steam_osx	430503	91273	6132	0	4993
06:56:49	dota2	62955413	8932521	0	0	0
06:56:49	Tunnel	38368234	82026301	18439	7555	1164911
06:57:00	steam_osx	430503	91273	6132	0	4993
06:57:00	dota2	63386121	8984242	0	0	0
06:57:00	Tunnel	38826245	82082924	18439	7555	1164911
06:57:10	steam_osx	430503	91273	6132	0	4993
06:57:10	dota2	63771196	9044156	0	0	0
06:57:10	Tunnel	39240852	82154438	18439	10541	1164911
06:57:20	steam_osx	430503	91327	6132	0	4993
06:57:20	dota2	64148680	9099760	0	0	0
06:57:20	Tunnel	39654330	82229431	19106	10541	1164911
06:57:30	steam_osx	431354	91327	6132	0	4993
06:57:30	dota2	64567520	9155670	0	0	0
06:57:30	Tunnel	40126881	83560391	19106	10541	1166259
06:57:40	steam_osx	432146	91381	6132	0	4993
06:57:40	dota2	65079215	9215023	0	0	0
06:57:40	Tunnel	40693607	84777982	19138	19650	1166259
06:57:50	steam_osx	432332	91381	6132	0	4993
06:57:50	dota2	65473205	9272307	0	0	0
06:57:50	Tunnel	41134649	84908703	19138	19650	1166259
06:58:00	steam_osx	432332	91381	6132	0	4993
06:58:00	dota2	65881709	9344584	0	0	0
06:58:00	Tunnel	41568085	84982319	19138	19650	1166259
06:58:08	steam_osx	432332	91435	6132	0	4993
06:58:08	dota2	66194688	9383513	0	0	0
06:58:08	Tunnel	41916664	85138644	19138	19650	1166259
06:58:38	steam_osx	432712	91489	6132	0	4993
06:58:38	dota2	67391149	9549135	0	0	0
06:58:38	Tunnel	43286659	86787527	25450	19650	1178675
06:59:08	steam_osx	434766	92100	6132	0	4993
06:59:08	dota2	68892352	9711068	0	0	0
06:59:08	Tunnel	44917795	88288661	26958	72776	1180023
06:59:38	steam_osx	437299	93420	6132	0	5415
06:59:38	dota2	70489243	9883144	0	0	0
06:59:38	Tunnel	46663418	91357283	27028	96976	1187082
07:00:08	steam_osx	437299	93474	6132	0	5415
07:00:08	dota2	71620593	10061781	0	0	0
07:00:08	Tunnel	47928737	97001257	27028	99615	1188430
07:00:38	steam_osx	437976	93528	6132	0	5415
07:00:38	dota2	72944133	10233774	0	0	0
07:00:38	Tunnel	36510557	96378075	26138	102532	1188430
07:01:09	steam_osx	439246	94058	6132	0	5469
07:01:09	dota2	74393323	10406322	0	0	0
07:01:09	Tunnel	38105798	98174874	27532	113863	1193662
07:01:39	steam_osx	441076	94534	6132	0	5469
07:01:39	dota2	75727492	10570798	0	0	0
07:01:39	Tunnel	39549748	98403145	27739	113863	1193662
07:02:09	steam_osx	441268	94588	6132	0	5469
07:02:09	dota2	77088599	10759250	0	0	0
07:02:09	Tunnel	41006398	99916411	27739	125214	1199463
07:02:39	steam_osx	442410	94642	6132	0	5469
07:02:39	dota2	78542892	10935258	0	0	0
07:02:39	Tunnel	42593600	101406629	27739	125214	1198115
07:03:09	steam_osx	442892	94696	6132	0	5469
07:03:09	dota2	79917842	11108373	0	0	0
07:03:09	Tunnel	44109857	104697602	27739	125214	1198139
07:03:39	steam_osx	442892	94750	6132	0	5469
07:03:39	dota2	81238719	11281294	0	0	0
07:03:39	Tunnel	45537799	104969469	27739	125214	1198115
07:04:09	steam_osx	445877	95226	6132	0	5469
07:04:09	dota2	82937141	11471886	0	0	0
07:04:09	Tunnel	47350159	105195762	27739	125214	1198115
07:04:39	steam_osx	446634	95280	6132	0	5469
07:04:39	dota2	84232126	11633723	0	0	0
07:04:39	Tunnel	48754184	108272592	27739	125214	1231311
07:05:09	steam_osx	448228	95846	6132	0	5469
07:05:09	dota2	85804294	11810893	0	0	0
07:05:09	Tunnel	50461442	110044451	27739	125214	1231311
07:05:40	steam_osx	448228	95900	6132	0	5469
07:05:40	dota2	87193036	11988793	0	0	0
07:05:40	Tunnel	51954632	111933871	27739	125214	1315511
07:06:10	steam_osx	451681	105026	6132	0	5469
07:06:10	dota2	88679566	12144429	0	0	0
07:06:10	Tunnel	36902463	109811660	26605	122866	1314354
07:06:40	steam_osx	452360	105080	6132	0	5469
07:06:40	dota2	90105502	12303984	0	0	0
07:06:40	Tunnel	38429386	110063601	31578	122866	1341048
07:07:10	steam_osx	453316	105188	6132	0	5469
07:07:10	dota2	91602038	12455287	0	0	0
07:07:10	Tunnel	39998326	110241017	31578	122866	1341048
07:07:40	steam_osx	456114	105610	6132	0	5469
07:07:40	dota2	93174482	12614618	0	0	0
07:07:40	Tunnel	41060593	87845884	30127	122866	776945
07:08:10	steam_osx	488599	111793	6332	0	5469
07:08:10	dota2	93936441	12733979	0	0	0
07:08:10	Tunnel	41968281	91109790	30231	122866	777128
07:08:40	steam_osx	583010	112666	6332	0	5469
07:08:40	dota2	93941116	12740779	0	0	0
07:08:40	Tunnel	42055760	94068703	31454	122866	780139
07:09:10	steam_osx	478126	111179	6332	0	5469
07:09:10	dota2	93941116	12740779	0	0	0
07:09:10	Tunnel	0	5655	0	0	0
07:09:41	steam_osx	480086	112857	6332	0	5469
07:09:41	dota2	93941116	12740779	0	0	0
07:09:41	Tunnel	52633	67908	0	0	0
07:10:11	steam_osx	480538	113063	6332	0	5469
07:10:11	dota2	93941116	12740779	0	0	0
07:10:11	Tunnel	103325	143527	387	0	0
07:10:41	steam_osx	480631	113117	6332	0	5469
07:10:41	dota2	93941116	12740779	0	0	0
07:10:41	Tunnel	90956	1650475	636	0	0
07:11:11	steam_osx	481675	113323	6332	0	5469
07:11:11	dota2	93941116	12740779	0	0	0
07:11:11	Tunnel	112752	775154	388	0	0
07:11:41	steam_osx	480857	113180	6332	0	5469
07:11:41	dota2	93941116	12740779	0	0	0
07:11:41	Tunnel	80337	346726	388	0	47302
07:12:11	steam_osx	483115	114488	6332	0	5469
07:12:11	dota2	93941116	12740779	0	0	0
07:12:11	Tunnel	121632	416117	714	0	47302
07:12:41	steam_osx	483395	114618	6332	0	5469
07:12:41	dota2	93941116	12740779	0	0	0
07:12:41	Tunnel	103470	1962787	388	0	68400
07:13:11	steam_osx	490730	116450	6332	0	5469
07:13:11	dota2	93941116	12740779	0	0	0
07:13:11	Tunnel	136995	2047254	716	0	68400
07:13:41	steam_osx	493132	115347	6332	0	5469
07:13:41	dota2	93951048	12743929	0	0	224
07:13:41	Tunnel	177535	720175	601	0	68400
07:14:11	steam_osx	501998	117329	6332	0	5469
07:14:11	dota2	93951112	12743783	0	0	0
07:14:11	Tunnel	171880	2240047	697	0	83961
07:14:41	steam_osx	494414	116025	6332	0	5469
07:14:41	dota2	93951148	12744035	0	0	0
07:14:41	Tunnel	172279	812689	674	0	83961
07:15:11	steam_osx	494600	116155	6332	0	5469
07:15:11	dota2	93951184	12744287	0	0	0
07:15:11	Tunnel	162965	817058	700	0	83961
07:15:42	steam_osx	494684	116285	6332	0	5469
07:15:42	dota2	93951220	12744623	0	0	0
07:15:42	Tunnel	117819	336585	351	0	36659
07:16:12	steam_osx	498228	117042	6332	0	5469
07:16:12	dota2	93951256	12744875	0	0	0
07:16:12	Tunnel	122084	385487	351	0	36659
07:16:42	steam_osx	544137	122837	6529	0	5577
07:16:42	dota2	94167017	12809924	0	0	0
07:16:42	Tunnel	491674	586667	3265	0	43501
07:17:12	steam_osx	848823	125815	6529	0	5577
07:17:12	dota2	94405683	12928922	0	0	0
07:17:12	Tunnel	1109780	2243738	3265	0	43501
07:17:42	steam_osx	512783	120657	6529	0	5577
07:17:42	dota2	94587902	13056811	0	0	0
07:17:42	Tunnel	984013	2435761	1292	0	43236
07:18:12	steam_osx	515792	120747	6529	0	5577
07:18:12	dota2	94781977	13178882	0	0	0
07:18:12	Tunnel	1243380	2671637	1292	0	65979
07:18:42	steam_osx	523099	122816	6529	0	5577
07:18:42	dota2	95090627	13290871	0	0	0
07:18:42	Tunnel	1566449	2881086	1292	0	65979
07:19:12	steam_osx	545860	125904	6529	0	5577
07:19:12	dota2	95586110	13408227	0	0	0
07:19:12	Tunnel	2088474	1583024	1403	0	65979
07:19:42	steam_osx	535823	124356	6529	0	5577
07:19:42	dota2	96145043	13552098	0	0	0
07:19:42	Tunnel	2703497	1774628	1403	0	65979
07:20:13	steam_osx	535823	124410	6529	0	5577
07:20:13	dota2	96621607	13713365	0	0	0
07:20:13	Tunnel	3234906	1759560	1403	0	68675
07:20:43	steam_osx	535920	124464	6529	0	5577
07:20:43	dota2	97462111	13921962	0	0	0
07:20:43	Tunnel	4133406	2003379	1403	0	68675
07:21:13	steam_osx	536488	124518	6529	0	5577
07:21:13	dota2	98472421	14087947	0	0	0
